preco,carro,foto_url,fornecedor,quantidade,categoria,id,created_date,updated_date,created_by_id,created_by,is_sample
"70","Majorette Porsche","https://base44.app/api/apps/69f36c3068d6d60b163e7433/files/mp/public/69f36c3068d6d60b163e7433/6d2e081ca_image.jpg","Majorette","1","","6a0235d200edfb8bc07d0203","2026-05-11T20:02:26.145000","2026-05-11T20:02:26.145000","69f7fcc0b457ed2120e16ae2","gobueno269@gmail.com","false"
"60","1989 Camaro","https://base44.app/api/apps/69f36c3068d6d60b163e7433/files/mp/public/69f36c3068d6d60b163e7433/b9eb2ccdb_image.jpg","Hot Wheels","1","Silver Series","6a0235c12a067eb358156ba0","2026-05-11T20:02:09.114000","2026-05-11T20:02:09.114000","69f7fcc0b457ed2120e16ae2","gobueno269@gmail.com","false"
"90","1994 Honda Del Sol","https://base44.app/api/apps/69f36c3068d6d60b163e7433/files/mp/public/69f36c3068d6d60b163e7433/9f6aeec5f_image.jpg","Hot Wheels","1","Premium","6a0232d77b6efc284f7cc32e","2026-05-11T19:49:43.878000","2026-05-11T19:49:43.878000","69f7fcc0b457ed2120e16ae2","gobueno269@gmail.com","false"
"70","Ford GT","https://base44.app/api/apps/69f36c3068d6d60b163e7433/files/mp/public/69f36c3068d6d60b163e7433/aaa38805f_image.jpg","Hot Wheels","1","","6a0232c3f059d60ea62dbe4d","2026-05-11T19:49:23.106000","2026-05-11T19:49:23.106000","69f7fcc0b457ed2120e16ae2","gobueno269@gmail.com","false"
"90","Pandem Subaru BRZ","https://base44.app/api/apps/69f36c3068d6d60b163e7433/files/mp/public/69f36c3068d6d60b163e7433/309da7a32_image.jpg","Hot Wheels","1","","6a0232af7da5a7c7d6324b68","2026-05-11T19:49:03.520000","2026-05-11T19:49:03.520000","69f7fcc0b457ed2120e16ae2","gobueno269@gmail.com","false"
"85","1:64 BMW M4 GT3","https://base44.app/api/apps/69f36c3068d6d60b163e7433/files/mp/public/69f36c3068d6d60b163e7433/e3f440be8_image.jpg","CCA","3","Premium","6a02317b271ed45d60cdf6a7","2026-05-11T19:43:55.031000","2026-05-11T19:45:25.517000","69f7fcc0b457ed2120e16ae2","gobueno269@gmail.com","false"
"95","1:56 Volkswagen TT","https://base44.app/api/apps/69f36c3068d6d60b163e7433/files/mp/public/69f36c3068d6d60b163e7433/b7ddb1c91_image.jpg","CCA","1","Premium","6a0231543ff8912d3e18dec8","2026-05-11T19:43:16.709000","2026-05-11T19:43:16.709000","69f7fcc0b457ed2120e16ae2","gobueno269@gmail.com","false"
"28","Mazda RX-3","https://base44.app/api/apps/69f36c3068d6d60b163e7433/files/mp/public/69f36c3068d6d60b163e7433/b31245322_image.jpg","Hot Wheels","1","","6a022f3b12740814260c639b","2026-05-11T19:34:19.867000","2026-05-11T19:34:19.867000","69f7fcc0b457ed2120e16ae2","gobueno269@gmail.com","false"
"30","'68 Dodge Dart","https://base44.app/api/apps/69f36c3068d6d60b163e7433/files/mp/public/69f36c3068d6d60b163e7433/c9df30316_image.jpg","Hot Wheels","1","","6a022f17fa3ab2591e9f8574","2026-05-11T19:33:43.855000","2026-05-11T19:33:43.855000","69f7fcc0b457ed2120e16ae2","gobueno269@gmail.com","false"
"27","1969 CAMARO® SS™ 396","https://base44.app/api/apps/69f36c3068d6d60b163e7433/files/mp/public/69f36c3068d6d60b163e7433/fb167a9b1_image.jpg","Matchbox","1","Mainline","6a022f007f8f7d719625ef17","2026-05-11T19:33:20.358000","2026-05-11T19:33:20.358000","69f7fcc0b457ed2120e16ae2","gobueno269@gmail.com","false"
"35","Audi RS 6 Avant","https://base44.app/api/apps/69f36c3068d6d60b163e7433/files/mp/public/69f36c3068d6d60b163e7433/6f9f7a2a0_image.jpg","Hot Wheels","1","Mainline","6a022eb8e063adba1c1c55df","2026-05-11T19:32:08.345000","2026-05-11T19:32:50.344000","69f7fcc0b457ed2120e16ae2","gobueno269@gmail.com","false"
